,√—»Æ¡¯¿⁄,¿œ∆Ú±’»Æ¡¯¿⁄,√—ªÁ∏¡¿⁄,¿œ∆Ú±’ªÁ∏¡¿⁄
Afghanistan,38595,105.74,1040,2.85
Albania,179016,490.45,1088,2.98
Algeria,96062,263.18,2622,7.18
Andorra,30830,84.47,25,0.07
Angola,59524,163.08,901,2.47
Antarctica,11,0.03,0,0
Antigua and Barbuda,7470,20.47,101,0.28
Argentina,4630543,12686.42,23648,64.79
Armenia,195255,534.95,4019,11.01
Australia,9401456,25757.41,10941,29.98
Austria,4119800,11287.12,7182,19.68
Azerbaijan,454989,1246.55,4725,12.95
Bahamas,21884,59.96,535,1.47
Bahrain,390461,1069.76,125,0.34
Bangladesh,755773,2070.61,8606,23.58
Barbados,87696,240.26,445,1.22
Belarus,547997,1501.36,3664,10.04
Belgium,3289540,9012.44,6987,19.14
Belize,52948,145.06,343,0.94
Benin,18922,51.84,55,0.15
Bhutan,57853,158.5,19,0.05
Bolivia,563994,1545.19,4240,11.62
Bosnia and Herzegovina,179321,491.29,6166,16.89
Botswana,218780,599.4,1201,3.29
Brazil,13911754,38114.39,121838,333.8
Brunei,205553,563.16,222,0.61
Bulgaria,781634,2141.46,19164,52.5
Burkina Faso,7555,20.7,218,0.6
Burma,314907,862.76,10100,27.67
Burundi,38228,104.73,29,0.08
Cabo Verde,28368,77.72,112,0.31
Cambodia,59546,163.14,1659,4.55
Cameroon,38151,104.52,597,1.64
Canada,2657755,7281.52,16352,44.8
Central African Republic,7613,20.86,15,0.04
Chad,2459,6.74,19,0.05
Chile,2625775,7193.9,24129,66.11
China,2145436,5877.91,9999,27.39
Colombia,1480478,4056.1,20122,55.13
Comoros,4287,11.75,13,0.04
Congo (Brazzaville),11589,31.75,208,0.57
Congo (Kinshasa),42256,115.77,352,0.96
Costa Rica,621561,1702.91,3690,10.11
Cote d'Ivoire,35171,96.36,482,1.32
Croatia,823124,2255.13,8054,22.07
Cuba,723498,1982.19,5771,15.81
Cyprus,459985,1260.23,695,1.9
Czechia,2596190,7112.85,10104,27.68
Denmark,2958386,8105.17,4137,11.33
Diamond Princess,0,0,0,0
Djibouti,4039,11.07,33,0.09
Dominica,14642,40.12,68,0.19
Dominican Republic,286308,784.41,420,1.15
Ecuador,473973,1298.56,4170,11.42
Egypt,231383,633.93,8241,22.58
El Salvador,104198,285.47,1565,4.29
Equatorial Guinea,7843,21.49,60,0.16
Eritrea,3498,9.58,68,0.19
Estonia,452842,1240.66,1348,3.69
Eswatini,47301,129.59,630,1.73
Ethiopia,211872,580.47,3183,8.72
Fiji,37768,103.47,632,1.73
Finland,1063576,2913.91,4007,10.98
France,27806603,76182.47,40962,112.22
Gabon,23127,63.36,142,0.39
Gambia,4369,11.97,156,0.43
Georgia,1266684,3470.37,10989,30.11
Germany,27020544,74028.89,52218,143.06
Ghana,64988,178.05,634,1.74
Greece,3856119,10564.71,18034,49.41
Grenada,18622,51.02,233,0.64
Guatemala,673892,1846.28,8698,23.83
Guinea,11720,32.11,225,0.62
Guinea-Bissau,3933,10.78,96,0.26
Guyana,47284,129.55,730,2
Haiti,12079,33.09,275,0.75
Holy See,2,0.01,0,0
Honduras,142790,391.21,3098,8.49
Hungary,1155990,3167.1,16764,45.93
Iceland,194198,532.05,149,0.41
India,12380451,33919.04,102045,279.58
Indonesia,2797440,7664.22,62874,172.26
Iran,3520018,9643.88,51368,140.73
Iraq,818199,2241.64,6658,18.24
Ireland,1343190,3679.97,2640,7.23
Israel,3708038,10159.01,4904,13.44
Italy,16689997,45726.02,44023,120.61
Jamaica,93477,256.1,2004,5.49
Japan,11868778,32517.2,17420,47.73
Jordan,939167,2573.06,4042,11.07
Kazakhstan,806256,2208.92,9945,27.25
Kenya,134409,368.24,1741,4.77
Kiribati,3428,9.39,13,0.04
"Korea, North",1,0,6,0.02
"Korea, South",19620952,53756.03,22970,62.93
Kosovo,145865,399.63,902,2.47
Kuwait,255899,701.09,239,0.65
Kyrgyzstan,39793,109.02,666,1.82
Laos,204940,561.48,750,2.05
Latvia,722861,1980.44,3336,9.14
Lebanon,612491,1678.06,2626,7.19
Lesotho,21132,57.9,328,0.9
Liberia,2134,5.85,146,0.4
Libya,254497,697.25,2922,8.01
Liechtenstein,15491,42.44,28,0.08
Lithuania,900224,2466.37,4798,13.15
Luxembourg,208382,570.91,287,0.79
MS Zaandam,0,0,0,0
Madagascar,23828,65.28,465,1.27
Malawi,35063,96.06,1030,2.82
Malaysia,3566781,9772,26945,73.82
Maldives,106870,292.79,86,0.24
Mali,16644,45.6,207,0.57
Malta,78533,215.16,371,1.02
Marshall Islands,60,0.16,0,0
Mauritania,36881,101.04,430,1.18
