,√—»Æ¡¯¿⁄,¿œ∆Ú±’»Æ¡¯¿⁄,√—ªÁ∏¡¿⁄,¿œ∆Ú±’ªÁ∏¡¿⁄
US,56238021,154076.77,420608,1152.35
Russia,12145537,33275.44,218731,599.26
Brazil,13911754,38114.39,121838,333.8
India,12380451,33919.04,102045,279.58
Mexico,3863595,10585.19,86619,237.31
Indonesia,2797440,7664.22,62874,172.26
Ukraine,2961234,8112.97,60907,166.87
Germany,27020544,74028.89,52218,143.06
Iran,3520018,9643.88,51368,140.73
United Kingdom,17632481,48308.17,48637,133.25
Turkey,10162450,27842.33,48009,131.53
Italy,16689997,45726.02,44023,120.61
Vietnam,10629572,29122.12,41787,114.48
Poland,3186726,8730.76,41309,113.18
France,27806603,76182.47,40962,112.22
Philippines,2187662,5993.59,32838,89.97
Romania,1980458,5425.91,31718,86.9
South Africa,1557670,4267.59,29969,82.11
Spain,8779535,24053.52,29233,80.09
Malaysia,3566781,9772,26945,73.82
