,Confirmed,Deaths
2021-08-01,1215,1
2021-08-02,1201,5
2021-08-03,1723,2
2021-08-04,1776,3
2021-08-05,1704,4
2021-08-06,1822,3
2021-08-07,1728,5
2021-08-08,1492,4
2021-08-09,1539,9
2021-08-10,2219,1
2021-08-11,1986,3
2021-08-12,1990,6
2021-08-13,1929,4
2021-08-14,1817,8
2021-08-15,1553,11
2021-08-16,1373,6
2021-08-17,1803,5
2021-08-18,2151,13
2021-08-19,2051,6
2021-08-20,1880,5
2021-08-21,1627,13
2021-08-22,1416,7
2021-08-23,1505,6
2021-08-24,2152,9
2021-08-25,1878,20
2021-08-26,1841,8
2021-08-27,1793,11
2021-08-28,1617,3
2021-08-29,1483,5
2021-08-30,1370,1
2021-08-31,2024,7
2021-09-01,1956,11
2021-09-02,1709,5
2021-09-03,1803,7
2021-09-04,1491,6
2021-09-05,1374,6
2021-09-06,1596,3
2021-09-07,2049,4
2021-09-08,2047,9
2021-09-09,1892,5
2021-09-10,1865,10
2021-09-11,1755,1
2021-09-12,1433,1
2021-09-13,1495,7
2021-09-14,2079,13
2021-09-15,1941,6
2021-09-16,2008,3
2021-09-17,2084,5
2021-09-18,1909,10
2021-09-19,1605,5
2021-09-20,1727,4
2021-09-21,1720,6
2021-09-22,1716,8
2021-09-23,2433,7
2021-09-24,3270,7
2021-09-25,2770,9
2021-09-26,2381,6
2021-09-27,2289,8
2021-09-28,2883,10
2021-09-29,2564,7
2021-09-30,2484,16
2021-10-01,2247,7
2021-10-02,2085,3
2021-10-03,1672,6
2021-10-04,1575,11
2021-10-05,2027,12
2021-10-06,2425,8
2021-10-07,2172,10
2021-10-08,1949,6
2021-10-09,1594,15
2021-10-10,1297,8
2021-10-11,1347,11
2021-10-12,1579,11
2021-10-13,1937,13
2021-10-14,1682,8
2021-10-15,1617,18
2021-10-16,1418,16
2021-10-17,1049,8
2021-10-18,1073,21
2021-10-19,1570,9
2021-10-20,1441,11
2021-10-21,1440,16
2021-10-22,1507,20
2021-10-23,1423,21
2021-10-24,1190,7
2021-10-25,1266,15
2021-10-26,1950,9
2021-10-27,2107,11
2021-10-28,2124,9
2021-10-29,2103,13
2021-10-30,2061,19
2021-10-31,1686,9
