,ÃÑÈ®ÁøÀÚ,ÀÏÆò±ÕÈ®ÁøÀÚ,ÃÑ»ç¸ÁÀÚ,ÀÏÆò±Õ»ç¸ÁÀÚ
US,56238021,154076.77,420608,1152.35
France,27806603,76182.47,40962,112.22
Germany,27020544,74028.89,52218,143.06
"Korea, South",19620952,53756.03,22970,62.93
United Kingdom,17632481,48308.17,48637,133.25
Italy,16689997,45726.02,44023,120.61
Brazil,13911754,38114.39,121838,333.8
India,12380451,33919.04,102045,279.58
Russia,12145537,33275.44,218731,599.26
Japan,11868778,32517.2,17420,47.73
Vietnam,10629572,29122.12,41787,114.48
Turkey,10162450,27842.33,48009,131.53
Australia,9401456,25757.41,10941,29.98
Spain,8779535,24053.52,29233,80.09
Netherlands,6542273,17924.04,5008,13.72
Argentina,4630543,12686.42,23648,64.79
Taiwan*,4572511,12527.43,8140,22.3
Portugal,4371981,11978.03,7231,19.81
Austria,4119800,11287.12,7182,19.68
Thailand,3994997,10945.2,26547,72.73
