,date,dayDeaths,dayConfirmed
153,2020-03-01,1,586
310,2020-03-02,11,599
483,2020-03-03,0,851
666,2020-03-04,7,435
858,2020-03-05,0,467
1063,2020-03-06,7,505
1294,2020-03-07,2,448
1552,2020-03-08,6,273
1839,2020-03-09,3,164
2138,2020-03-10,1,35
2376,2020-03-11,6,242
2624,2020-03-12,6,114
2984,2020-03-13,0,110
3136,2020-03-14,6,107
3417,2020-03-15,3,76
3708,2020-03-16,0,74
4013,2020-03-17,6,84
4322,2020-03-18,3,93
4638,2020-03-19,7,152
4962,2020-03-20,3,87
5294,2020-03-21,8,147
8862,2020-03-22,2,98
12409,2020-03-23,7,64
15858,2020-03-24,9,76
19311,2020-03-25,6,100
22765,2020-03-26,5,104
26229,2020-03-27,8,91
29693,2020-03-28,5,146
33162,2020-03-29,8,105
36636,2020-03-30,6,78
39104,2020-03-31,4,125
41622,2020-04-01,3,101
44224,2020-04-02,4,89
46883,2020-04-03,5,86
49596,2020-04-04,3,94
52392,2020-04-05,6,81
55233,2020-04-06,3,47
58124,2020-04-07,6,47
61040,2020-04-08,8,53
63984,2020-04-09,4,39
66957,2020-04-10,4,27
69956,2020-04-11,3,30
72978,2020-04-12,3,32
76014,2020-04-13,3,25
79061,2020-04-14,5,27
82121,2020-04-15,3,27
85196,2020-04-16,4,22
88275,2020-04-17,1,22
91362,2020-04-18,2,18
94468,2020-04-19,2,8
97583,2020-04-20,2,13
100708,2020-04-21,1,9
103841,2020-04-22,1,11
106987,2020-04-23,2,14
110147,2020-04-24,0,10
113313,2020-04-25,2,10
116487,2020-04-26,1,10
119673,2020-04-27,1,14
122878,2020-04-28,2,9
126080,2020-04-29,1,4
129290,2020-04-30,1,9
132512,2020-05-01,2,6
135738,2020-05-02,0,13
138970,2020-05-03,2,8
142205,2020-05-04,2,3
145448,2020-05-05,1,2
148698,2020-05-06,1,4
151957,2020-05-07,0,12
155223,2020-05-08,0,18
158491,2020-05-09,0,34
161761,2020-05-10,0,35
165031,2020-05-11,2,27
168304,2020-05-12,1,26
171578,2020-05-13,1,29
174909,2020-05-14,0,27
178245,2020-05-15,2,19
181585,2020-05-16,0,13
184928,2020-05-17,1,15
188272,2020-05-18,0,13
191622,2020-05-19,0,32
195053,2020-05-20,1,12
198485,2020-05-21,0,20
201924,2020-05-22,2,23
