,date,dayConfirmed
153,2020-03-01,586
310,2020-03-02,599
483,2020-03-03,851
666,2020-03-04,435
858,2020-03-05,467
1063,2020-03-06,505
1294,2020-03-07,448
1552,2020-03-08,273
1839,2020-03-09,164
2138,2020-03-10,35
2376,2020-03-11,242
2624,2020-03-12,114
2984,2020-03-13,110
3136,2020-03-14,107
3417,2020-03-15,76
3708,2020-03-16,74
4013,2020-03-17,84
4322,2020-03-18,93
4638,2020-03-19,152
4962,2020-03-20,87
5294,2020-03-21,147
8862,2020-03-22,98
12409,2020-03-23,64
15858,2020-03-24,76
19311,2020-03-25,100
22765,2020-03-26,104
26229,2020-03-27,91
29693,2020-03-28,146
33162,2020-03-29,105
36636,2020-03-30,78
39104,2020-03-31,125
41622,2020-04-01,101
44224,2020-04-02,89
46883,2020-04-03,86
49596,2020-04-04,94
52392,2020-04-05,81
55233,2020-04-06,47
58124,2020-04-07,47
61040,2020-04-08,53
63984,2020-04-09,39
66957,2020-04-10,27
69956,2020-04-11,30
72978,2020-04-12,32
76014,2020-04-13,25
79061,2020-04-14,27
82121,2020-04-15,27
85196,2020-04-16,22
88275,2020-04-17,22
91362,2020-04-18,18
94468,2020-04-19,8
97583,2020-04-20,13
100708,2020-04-21,9
103841,2020-04-22,11
106987,2020-04-23,14
110147,2020-04-24,10
113313,2020-04-25,10
116487,2020-04-26,10
119673,2020-04-27,14
122878,2020-04-28,9
126080,2020-04-29,4
129290,2020-04-30,9
132512,2020-05-01,6
135738,2020-05-02,13
138970,2020-05-03,8
142205,2020-05-04,3
145448,2020-05-05,2
148698,2020-05-06,4
151957,2020-05-07,12
155223,2020-05-08,18
158491,2020-05-09,34
161761,2020-05-10,35
165031,2020-05-11,27
168304,2020-05-12,26
171578,2020-05-13,29
174909,2020-05-14,27
178245,2020-05-15,19
181585,2020-05-16,13
184928,2020-05-17,15
188272,2020-05-18,13
191622,2020-05-19,32
195053,2020-05-20,12
198485,2020-05-21,20
201924,2020-05-22,23
205365,2020-05-23,25
208810,2020-05-24,16
212256,2020-05-25,19
215703,2020-05-26,40
219154,2020-05-27,79
222710,2020-05-28,58
226269,2020-05-29,39
229831,2020-05-30,27
233394,2020-05-31,35
237070,2020-06-01,38
240748,2020-06-02,49
244429,2020-06-03,39
248111,2020-06-04,39
251818,2020-06-05,51
255526,2020-06-06,57
259234,2020-06-07,38
262943,2020-06-08,38
266654,2020-06-09,50
270409,2020-06-10,45
274170,2020-06-11,56
277941,2020-06-12,48
281715,2020-06-13,34
285489,2020-06-14,36
289268,2020-06-15,34
293045,2020-06-16,43
296825,2020-06-17,59
300606,2020-06-18,49
304388,2020-06-19,67
308174,2020-06-20,48
311960,2020-06-21,17
315749,2020-06-22,46
319543,2020-06-23,51
323350,2020-06-24,28
327164,2020-06-25,39
330979,2020-06-26,51
334795,2020-06-27,62
338611,2020-06-28,42
342429,2020-06-29,43
346249,2020-06-30,50
350071,2020-07-01,54
353896,2020-07-02,63
357725,2020-07-03,63
361556,2020-07-04,61
365388,2020-07-05,46
369222,2020-07-06,44
373058,2020-07-07,63
376897,2020-07-08,49
380736,2020-07-09,45
384579,2020-07-10,35
388423,2020-07-11,44
392269,2020-07-12,62
396115,2020-07-13,33
399970,2020-07-14,39
403825,2020-07-15,61
407682,2020-07-16,60
411551,2020-07-17,39
415501,2020-07-18,34
419452,2020-07-19,26
423318,2020-07-20,45
427363,2020-07-21,63
431321,2020-07-22,59
435250,2020-07-23,41
439243,2020-07-24,113
443205,2020-07-25,58
447170,2020-07-26,25
451134,2020-07-27,28
455100,2020-07-28,48
459068,2020-07-29,18
463036,2020-07-30,36
467007,2020-07-31,31
470975,2020-08-01,30
474943,2020-08-02,23
478911,2020-08-03,34
482879,2020-08-04,33
486851,2020-08-05,43
490824,2020-08-06,20
494797,2020-08-07,43
498770,2020-08-08,36
502743,2020-08-09,28
506716,2020-08-10,34
507189,2020-08-11,54
511164,2020-08-12,56
515139,2020-08-13,103
519116,2020-08-14,166
523093,2020-08-15,279
527070,2020-08-16,197
531047,2020-08-17,246
535026,2020-08-18,297
539005,2020-08-19,288
542986,2020-08-20,324
546967,2020-08-21,332
550948,2020-08-22,397
554930,2020-08-23,266
558912,2020-08-24,280
562894,2020-08-25,320
566876,2020-08-26,441
570858,2020-08-27,371
574840,2020-08-28,323
578822,2020-08-29,299
582804,2020-08-30,248
586786,2020-08-31,235
590772,2020-09-01,267
594758,2020-09-02,195
598744,2020-09-03,198
602730,2020-09-04,168
606716,2020-09-05,167
610702,2020-09-06,119
614688,2020-09-07,136
618674,2020-09-08,156
622660,2020-09-09,155
626646,2020-09-10,176
630632,2020-09-11,136
634618,2020-09-12,121
638604,2020-09-13,109
642590,2020-09-14,106
646576,2020-09-15,113
650562,2020-09-16,153
654548,2020-09-17,126
658534,2020-09-18,110
662520,2020-09-19,82
666506,2020-09-20,70
670493,2020-09-21,61
674481,2020-09-22,110
678469,2020-09-23,125
682457,2020-09-24,114
686445,2020-09-25,61
690433,2020-09-26,95
694421,2020-09-27,50
698409,2020-09-28,38
702397,2020-09-29,113
706385,2020-09-30,77
710373,2020-10-01,63
714361,2020-10-02,75
718349,2020-10-03,64
722337,2020-10-04,73
726325,2020-10-05,75
730313,2020-10-06,114
734301,2020-10-07,69
738289,2020-10-08,54
742277,2020-10-09,72
746265,2020-10-10,58
750253,2020-10-11,97
754241,2020-10-12,102
758230,2020-10-13,84
762219,2020-10-14,99
766208,2020-10-15,47
770197,2020-10-16,73
774187,2020-10-17,91
778177,2020-10-18,76
782167,2020-10-19,58
786158,2020-10-20,91
790149,2020-10-21,119
794140,2020-10-22,155
798131,2020-10-23,77
802122,2020-10-24,61
806113,2020-10-25,119
810104,2020-10-26,88
814095,2020-10-27,103
818086,2020-10-28,125
822078,2020-10-29,114
826070,2020-10-30,126
830062,2020-10-31,124
834054,2020-11-01,97
838046,2020-11-02,75
842038,2020-11-03,118
846030,2020-11-04,125
850023,2020-11-05,145
854016,2020-11-06,89
858009,2020-11-07,143
862002,2020-11-08,126
865995,2020-11-09,100
869988,2020-11-10,146
873982,2020-11-11,143
877987,2020-11-12,191
881993,2020-11-13,205
885999,2020-11-14,208
890005,2020-11-15,223
894011,2020-11-16,229
898017,2020-11-17,313
902023,2020-11-18,343
906029,2020-11-19,363
910035,2020-11-20,386
914041,2020-11-21,330
918047,2020-11-22,271
922053,2020-11-23,349
926060,2020-11-24,382
930067,2020-11-25,583
934074,2020-11-26,569
938081,2020-11-27,488
942088,2020-11-28,449
946095,2020-11-29,377
950102,2020-11-30,451
954109,2020-12-01,511
958116,2020-12-02,540
962123,2020-12-03,629
966130,2020-12-04,583
970137,2020-12-05,631
974144,2020-12-06,615
978151,2020-12-07,594
982158,2020-12-08,677
986165,2020-12-09,666
990172,2020-12-10,688
994179,2020-12-11,950
998186,2020-12-12,1030
1002193,2020-12-13,718
1006200,2020-12-14,880
1010207,2020-12-15,1078
1014214,2020-12-16,1011
1018221,2020-12-17,1062
1022228,2020-12-18,1055
1026235,2020-12-19,1095
1030242,2020-12-20,926
1034249,2020-12-21,869
1038256,2020-12-22,1090
1042263,2020-12-23,983
1046270,2020-12-24,1237
1050277,2020-12-25,1132
1054284,2020-12-26,970
1058291,2020-12-27,808
1062298,2020-12-28,1045
1066305,2020-12-29,1048
1070312,2020-12-30,967
1074319,2020-12-31,1029
364,2021-01-01,824
4371,2021-01-02,651
8379,2021-01-03,1020
12387,2021-01-04,715
16395,2021-01-05,839
20403,2021-01-06,868
24411,2021-01-07,672
28419,2021-01-08,641
32427,2021-01-09,665
36435,2021-01-10,450
40443,2021-01-11,537
44451,2021-01-12,561
48459,2021-01-13,516
52467,2021-01-14,513
56475,2021-01-15,579
60484,2021-01-16,520
64493,2021-01-17,389
68502,2021-01-18,386
72511,2021-01-19,403
76520,2021-01-20,400
80529,2021-01-21,344
84539,2021-01-22,430
88549,2021-01-23,392
92559,2021-01-24,437
96569,2021-01-25,354
100579,2021-01-26,554
104589,2021-01-27,497
108599,2021-01-28,469
112609,2021-01-29,455
116619,2021-01-30,355
120629,2021-01-31,303
124639,2021-02-01,336
128649,2021-02-02,467
132659,2021-02-03,451
136669,2021-02-04,369
140679,2021-02-05,393
144689,2021-02-06,372
148699,2021-02-07,289
152709,2021-02-08,302
156719,2021-02-09,443
160729,2021-02-10,504
164739,2021-02-11,403
168749,2021-02-12,362
172759,2021-02-13,326
176769,2021-02-14,344
180779,2021-02-15,456
184789,2021-02-16,621
188799,2021-02-17,621
192809,2021-02-18,561
196820,2021-02-19,446
200830,2021-02-20,418
204840,2021-02-21,332
208850,2021-02-22,357
212860,2021-02-23,439
216870,2021-02-24,396
220880,2021-02-25,406
224890,2021-02-26,399
228900,2021-02-27,355
232910,2021-02-28,355
236920,2021-03-01,341
240930,2021-03-02,444
244940,2021-03-03,424
248950,2021-03-04,398
252960,2021-03-05,417
256970,2021-03-06,416
260980,2021-03-07,346
264990,2021-03-08,446
269000,2021-03-09,470
273010,2021-03-10,465
277020,2021-03-11,488
281030,2021-03-12,490
285040,2021-03-13,459
289050,2021-03-14,382
293060,2021-03-15,363
297070,2021-03-16,469
301080,2021-03-17,445
305090,2021-03-18,463
309100,2021-03-19,452
313110,2021-03-20,456
317120,2021-03-21,410
321130,2021-03-22,346
325140,2021-03-23,425
329150,2021-03-24,430
333160,2021-03-25,494
337170,2021-03-26,505
341180,2021-03-27,482
345190,2021-03-28,384
349200,2021-03-29,441
353210,2021-03-30,506
357220,2021-03-31,551
361230,2021-04-01,555
