,date,dayDeaths
153,2020-03-01,1
310,2020-03-02,11
483,2020-03-03,0
666,2020-03-04,7
858,2020-03-05,0
1063,2020-03-06,7
1294,2020-03-07,2
1552,2020-03-08,6
1839,2020-03-09,3
2138,2020-03-10,1
2376,2020-03-11,6
2624,2020-03-12,6
2984,2020-03-13,0
3136,2020-03-14,6
3417,2020-03-15,3
3708,2020-03-16,0
4013,2020-03-17,6
4322,2020-03-18,3
4638,2020-03-19,7
4962,2020-03-20,3
5294,2020-03-21,8
8862,2020-03-22,2
12409,2020-03-23,7
15858,2020-03-24,9
19311,2020-03-25,6
22765,2020-03-26,5
26229,2020-03-27,8
29693,2020-03-28,5
33162,2020-03-29,8
36636,2020-03-30,6
39104,2020-03-31,4
41622,2020-04-01,3
44224,2020-04-02,4
46883,2020-04-03,5
49596,2020-04-04,3
52392,2020-04-05,6
55233,2020-04-06,3
58124,2020-04-07,6
61040,2020-04-08,8
63984,2020-04-09,4
66957,2020-04-10,4
69956,2020-04-11,3
72978,2020-04-12,3
76014,2020-04-13,3
79061,2020-04-14,5
82121,2020-04-15,3
85196,2020-04-16,4
88275,2020-04-17,1
91362,2020-04-18,2
94468,2020-04-19,2
97583,2020-04-20,2
100708,2020-04-21,1
103841,2020-04-22,1
106987,2020-04-23,2
110147,2020-04-24,0
113313,2020-04-25,2
116487,2020-04-26,1
119673,2020-04-27,1
122878,2020-04-28,2
126080,2020-04-29,1
129290,2020-04-30,1
132512,2020-05-01,2
135738,2020-05-02,0
138970,2020-05-03,2
142205,2020-05-04,2
145448,2020-05-05,1
148698,2020-05-06,1
151957,2020-05-07,0
155223,2020-05-08,0
158491,2020-05-09,0
161761,2020-05-10,0
165031,2020-05-11,2
168304,2020-05-12,1
171578,2020-05-13,1
174909,2020-05-14,0
178245,2020-05-15,2
181585,2020-05-16,0
184928,2020-05-17,1
188272,2020-05-18,0
191622,2020-05-19,0
195053,2020-05-20,1
198485,2020-05-21,0
201924,2020-05-22,2
205365,2020-05-23,0
208810,2020-05-24,1
212256,2020-05-25,2
215703,2020-05-26,0
219154,2020-05-27,0
222710,2020-05-28,0
226269,2020-05-29,0
229831,2020-05-30,1
233394,2020-05-31,1
237070,2020-06-01,1
240748,2020-06-02,1
244429,2020-06-03,0
248111,2020-06-04,0
251818,2020-06-05,0
255526,2020-06-06,0
259234,2020-06-07,0
262943,2020-06-08,1
266654,2020-06-09,2
270409,2020-06-10,0
274170,2020-06-11,1
277941,2020-06-12,0
281715,2020-06-13,0
285489,2020-06-14,0
289268,2020-06-15,1
293045,2020-06-16,1
296825,2020-06-17,1
300606,2020-06-18,0
